code,r,g,b,alpha
0,0.10588235294117647,0.16470588235294117,0.20392156862745098,1.0
1,0.11764705882352941,0.35294117647058826,0.6588235294117647,1.0
2,0.0,0.5215686274509804,0.16862745098039217,1.0
3,0.023529411764705882,0.615686274509804,0.6235294117647059,1.0
4,0.7058823529411765,0.0,0.0,1.0
5,0.8274509803921568,0.20784313725490197,0.615686274509804,1.0
6,0.32941176470588235,0.2,0.1411764705882353,1.0
7,0.5411764705882353,0.5725490196078431,0.5529411764705883,1.0
8,0.32941176470588235,0.34901960784313724,0.3333333333333333,1.0
9,0.592156862745098,0.796078431372549,0.8509803921568627,1.0
10,0.34509803921568627,0.6705882352941176,0.2549019607843137,1.0
11,0.0,0.6666666666666666,0.6431372549019608,1.0
12,0.9411764705882353,0.42745098039215684,0.3803921568627451,1.0
13,0.9647058823529412,0.6627450980392157,0.7333333333333333,1.0
14,0.9803921568627451,0.7843137254901961,0.0392156862745098,1.0
15,0.9568627450980393,0.9568627450980393,0.9568627450980393,1.0
16,1.0,1.0,0.5019607843137255,1.0
17,0.6784313725490196,0.8509803921568627,0.6588235294117647,1.0
18,1.0,0.8392156862745098,0.4980392156862745,1.0
19,0.8431372549019608,0.7294117647058823,0.5490196078431373,1.0
20,0.6862745098039216,0.7450980392156863,0.8392156862745098,1.0
21,0.8784313725490196,1.0,0.6901960784313725,0.9411764705882353
22,0.403921568627451,0.12156862745098039,0.5058823529411764,1.0
23,0.054901960784313725,0.24313725490196078,0.6039215686274509,1.0
24,0.4980392156862745,0.4980392156862745,0.4980392156862745,1.0
25,0.8392156862745098,0.4745098039215686,0.13725490196078433,1.0
26,0.5647058823529412,0.12156862745098039,0.4627450980392157,1.0
27,0.6470588235294118,0.792156862745098,0.09411764705882353,1.0
28,0.5372549019607843,0.49019607843137253,0.3843137254901961,1.0
29,1.0,0.6196078431372549,0.803921568627451,1.0
30,0.6274509803921569,0.43137254901960786,0.7254901960784313,1.0
31,0.803921568627451,0.6431372549019608,0.8705882352941177,1.0
32,0.0,0.0,0.0,0.8235294117647058
33,0.0,0.12549019607843137,0.6274509803921569,0.5019607843137255
34,0.13725490196078433,0.47058823529411764,0.2549019607843137,0.5019607843137255
35,0.33725490196078434,0.9019607843137255,0.27450980392156865,0.5019607843137255
36,0.788235294117647,0.10196078431372549,0.03529411764705882,0.5019607843137255
37,0.8745098039215686,0.4,0.5843137254901961,0.5019607843137255
38,1.0,0.5019607843137255,0.050980392156862744,0.5019607843137255
39,0.7568627450980392,0.8745098039215686,0.9411764705882353,0.5019607843137255
40,0.38823529411764707,0.37254901960784315,0.3215686274509804,0.5019607843137255
41,0.3333333333333333,0.6039215686274509,0.7176470588235294,0.5019607843137255
42,0.7529411764705882,1.0,0.0,0.5019607843137255
43,0.6823529411764706,0.9137254901960784,0.9372549019607843,0.5019607843137255
44,0.5882352941176471,0.4392156862745098,0.6235294117647059,0.5019607843137255
45,0.9882352941176471,0.592156862745098,0.6745098039215687,0.5019607843137255
46,0.9607843137254902,0.803921568627451,0.1843137254901961,0.5019607843137255
47,0.9882352941176471,0.9882352941176471,0.9882352941176471,0.5019607843137255
52,0.6470588235294118,0.6470588235294118,0.796078431372549,0.5019607843137255
54,0.8549019607843137,0.6901960784313725,0.0,0.5019607843137255
57,0.9411764705882353,0.5607843137254902,0.10980392156862745,0.5019607843137255
60,0.39215686274509803,0.35294117647058826,0.2980392156862745,1.0
61,0.4235294117647059,0.5882352941176471,0.7490196078431373,1.0
62,0.23529411764705882,0.7019607843137254,0.44313725490196076,1.0
63,0.6666666666666666,0.30196078431372547,0.5568627450980392,1.0
64,0.10588235294117647,0.16470588235294117,0.20392156862745098,1.0
65,0.9803921568627451,0.7843137254901961,0.0392156862745098,1.0
66,0.9607843137254902,0.803921568627451,0.1843137254901961,0.5019607843137255
67,0.9882352941176471,0.9882352941176471,0.9882352941176471,0.5019607843137255
68,0.9921568627450981,0.7647058823529411,0.5137254901960784,1.0
69,0.5411764705882353,0.07058823529411765,0.6588235294117647,1.0
70,0.37254901960784315,0.19215686274509805,0.03529411764705882,1.0
71,0.5882352941176471,0.5882352941176471,0.5882352941176471,1.0
72,0.39215686274509803,0.39215686274509803,0.39215686274509803,1.0
73,0.45098039215686275,0.5882352941176471,0.7843137254901961,1.0
74,0.4980392156862745,0.7686274509803922,0.4588235294117647,1.0
75,0.0,0.0,0.0,1.0
76,0.38823529411764707,0.37254901960784315,0.3803921568627451,1.0
77,0.996078431372549,0.8,0.8117647058823529,1.0
78,1.0,0.788235294117647,0.5843137254901961,1.0
79,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9411764705882353
80,0.4627450980392157,0.4627450980392157,0.4627450980392157,1.0
81,0.7607843137254902,0.7529411764705882,0.43529411764705883,1.0
82,0.8588235294117647,0.6745098039215687,0.20392156862745098,1.0
83,0.0392156862745098,0.07450980392156863,0.15294117647058825,1.0
84,0.6666666666666666,0.49019607843137253,0.3333333333333333,1.0
85,0.26666666666666666,0.10196078431372549,0.5686274509803921,1.0
86,0.4823529411764706,0.36470588235294116,0.2549019607843137,1.0
87,0.24313725490196078,0.23529411764705882,0.2235294117647059,1.0
89,0.10980392156862745,0.34509803921568627,0.6549019607843137,1.0
92,0.7333333333333333,0.5019607843137255,0.35294117647058826,1.0
100,0.9764705882352941,0.7176470588235294,0.6470588235294118,1.0
110,0.14901960784313725,0.27450980392156865,0.6039215686274509,1.0
112,0.2823529411764706,0.3803921568627451,0.6745098039215687,1.0
114,0.8745098039215686,0.4,0.5843137254901961,0.5019607843137255
115,0.7176470588235294,0.8313725490196079,0.1450980392156863,1.0
117,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5019607843137255
118,0.611764705882353,0.8392156862745098,0.8,1.0
120,0.8705882352941177,0.9176470588235294,0.5725490196078431,1.0
125,0.9764705882352941,0.6549019607843137,0.4666666666666667,1.0
128,0.6784313725490196,0.3803921568627451,0.25098039215686274,1.0
129,0.39215686274509803,0.0,0.3803921568627451,0.5019607843137255
132,0.0,0.0,0.0,1.0
133,0.0,0.0,0.0,1.0
134,0.4627450980392157,0.30196078431372547,0.23137254901960785,1.0
135,0.6274509803921569,0.6274509803921569,0.6274509803921569,1.0
137,0.3568627450980392,0.4588235294117647,0.5647058823529412,1.0
142,0.8705882352941177,0.6745098039215687,0.4,1.0
147,0.5137254901960784,0.4470588235294118,0.30980392156862746,1.0
148,0.2823529411764706,0.30196078431372547,0.2823529411764706,1.0
150,0.596078431372549,0.6078431372549019,0.6,1.0
151,0.7843137254901961,0.7843137254901961,0.7843137254901961,1.0
158,0.9450980392156862,0.5568627450980392,0.7333333333333333,0.5019607843137255
176,0.5803921568627451,0.3176470588235294,0.2823529411764706,1.0
178,0.6705882352941176,0.403921568627451,0.22745098039215686,1.0
179,0.5372549019607843,0.5294117647058824,0.5333333333333333,1.0
183,0.9647058823529412,0.9490196078431372,0.8745098039215686,1.0
184,0.8392156862745098,0.0,0.14901960784313725,1.0
185,0.0,0.34901960784313724,0.6392156862745098,1.0
186,0.0,0.5568627450980392,0.23529411764705882,1.0
187,0.3411764705882353,0.2235294117647059,0.17254901960784313,1.0
189,0.6745098039215687,0.5098039215686274,0.2784313725490196,1.0
191,0.9882352941176471,0.6745098039215687,0.0,1.0
200,0.4392156862745098,0.5098039215686274,0.1411764705882353,1.0
212,0.615686274509804,0.7647058823529411,0.9686274509803922,1.0
216,0.5294117647058824,0.16862745098039217,0.09019607843137255,1.0
218,0.5568627450980392,0.3333333333333333,0.592156862745098,1.0
219,0.33725490196078434,0.3058823529411765,0.615686274509804,1.0
226,1.0,0.9254901960784314,0.4235294117647059,1.0
227,0.7098039215686275,0.8509803921568627,0.4235294117647059,0.5019607843137255
231,0.9882352941176471,0.7176470588235294,0.42745098039215684,0.5019607843137255
232,0.4666666666666667,0.788235294117647,0.8470588235294118,1.0
234,0.984313725490196,0.9098039215686274,0.5647058823529412,0.5019607843137255
256,0.10588235294117647,0.16470588235294117,0.20392156862745098,1.0
272,0.09803921568627451,0.19607843137254902,0.35294117647058826,1.0
273,0.11764705882352941,0.35294117647058826,0.6588235294117647,1.0
284,0.7607843137254902,0.5058823529411764,0.6470588235294118,0.5019607843137255
285,0.49019607843137253,0.7607843137254902,0.5686274509803921,0.5019607843137255
288,0.0,0.27058823529411763,0.10196078431372549,1.0
293,0.4196078431372549,0.6705882352941176,0.8941176470588236,0.5019607843137255
294,0.7411764705882353,0.7764705882352941,0.6784313725490196,0.9411764705882353
295,1.0,0.5803921568627451,0.7607843137254902,1.0
297,0.6666666666666666,0.4980392156862745,0.1803921568627451,1.0
300,0.7607843137254902,0.4980392156862745,0.3254901960784314,1.0
302,0.6823529411764706,0.9137254901960784,0.9372549019607843,0.5019607843137255
308,0.20784313725490197,0.12941176470588237,0.0,1.0
313,0.6705882352941176,0.8509803921568627,1.0,1.0
320,0.4470588235294118,0.0,0.07058823529411765,1.0
321,0.27450980392156865,0.6078431372549019,0.7647058823529411,1.0
322,0.40784313725490196,0.7647058823529411,0.8862745098039215,1.0
323,0.8274509803921568,0.9490196078431372,0.9176470588235294,1.0
324,0.7058823529411765,0.0,0.0,1.0
326,0.8862745098039215,0.9764705882352941,0.6039215686274509,1.0
329,0.9607843137254902,0.9529411764705882,0.8431372549019608,0.9411764705882353
330,0.4666666666666667,0.4666666666666667,0.3058823529411765,1.0
334,0.8745098039215686,0.7568627450980392,0.4627450980392157,1.0
335,0.5333333333333333,0.3764705882352941,0.3686274509803922,1.0
