epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.09973,0.68414,3.55395,1.23633,0.8,0.04,0.421,0.4108,0.20154,4.22405,0.92886,0.00010008,0.00010008,0.00010008
2,17.3912,0.56058,2.1625,1.118,0.38911,1,0.50997,0.50423,0.22578,3.46458,0.91652,0.000200284,0.000200284,0.000200284
3,27.2833,0.49849,1.11619,1.07791,0.49087,0.89667,0.52076,0.50936,0.28107,2.3312,0.96736,0.00029636,0.00029636,0.00029636
4,38.071,0.44923,0.73177,1.04932,0.51006,1,0.51057,0.50654,0.21729,2.04691,0.90158,0.000388308,0.000388308,0.000388308
5,48.8537,0.46175,0.65368,1.05486,0.50645,1,0.51923,0.49771,0.29494,1.96766,0.95205,0.000383974,0.000383974,0.000383974
6,59.5091,0.43038,0.57746,1.02901,0.49397,0.96641,0.53174,0.52059,0.25445,1.6597,0.95002,0.000375717,0.000375717,0.000375717
7,70.3689,0.40068,0.53151,1.02055,0.49698,0.99789,0.54215,0.5395,0.21437,1.80426,0.91175,0.00036746,0.00036746,0.00036746
8,81.0484,0.3908,0.48721,1.01234,0.49502,0.9999,0.55488,0.54107,0.28722,1.51881,0.96485,0.000359204,0.000359204,0.000359204
9,92.3496,0.38225,0.45479,0.99929,0.50414,1,0.52853,0.52374,0.20175,1.70707,0.89387,0.000350947,0.000350947,0.000350947
10,103.473,0.38348,0.43837,1.00291,0.50412,0.99628,0.56411,0.56322,0.14741,1.61688,0.87554,0.000342691,0.000342691,0.000342691
11,112.352,0.37875,0.41762,0.998,0.5022,0.99,0.55539,0.55041,0.19048,1.62437,0.9009,0.000334434,0.000334434,0.000334434
12,122.062,0.36013,0.39945,0.9925,0.49977,1,0.56543,0.56433,0.16425,1.57049,0.88677,0.000326177,0.000326177,0.000326177
13,131.524,0.38429,0.39971,1.00627,0.49993,1,0.53178,0.53127,0.16793,1.74245,0.88542,0.000317921,0.000317921,0.000317921
14,140.909,0.36007,0.38287,0.99083,0.5028,1,0.57012,0.57012,0.1651,1.91175,0.88313,0.000309664,0.000309664,0.000309664
15,147.547,0.37037,0.37327,0.99583,0.4972,1,0.53892,0.53857,0.15684,1.72709,0.8826,0.000301408,0.000301408,0.000301408
16,153.646,0.34796,0.3486,0.98502,0.50086,1,0.52606,0.52606,0.16498,1.69719,0.88599,0.000293151,0.000293151,0.000293151
17,159.782,0.36696,0.35521,0.99558,0.4998,1,0.52894,0.52829,0.15088,1.42268,0.88329,0.000284894,0.000284894,0.000284894
18,166.08,0.34395,0.33987,0.98159,0.49554,1,0.55014,0.5388,0.16795,1.72232,0.88467,0.000276638,0.000276638,0.000276638
19,172.165,0.33227,0.3188,0.97567,0.49991,1,0.53475,0.53275,0.14417,1.77684,0.87914,0.000268381,0.000268381,0.000268381
20,178.292,0.33078,0.31545,0.98198,0.50457,0.97,0.52288,0.50965,0.23829,1.74702,0.95212,0.000260125,0.000260125,0.000260125
21,184.545,0.35067,0.32281,0.98775,0.49954,1,0.60687,0.60687,0.13335,1.86673,0.87737,0.000251868,0.000251868,0.000251868
22,190.581,0.33428,0.30906,0.97718,0.49983,1,0.56314,0.5622,0.13213,1.65922,0.87131,0.000243611,0.000243611,0.000243611
23,199.437,0.31925,0.29257,0.97024,0.50086,1,0.53705,0.53705,0.12627,1.67532,0.87257,0.000235355,0.000235355,0.000235355
24,208.943,0.31216,0.28894,0.96787,0.4999,1,0.55209,0.55209,0.10114,1.55845,0.86551,0.000227098,0.000227098,0.000227098
25,218.96,0.31917,0.28945,0.97298,0.4998,1,0.53082,0.53082,0.13659,1.64884,0.87729,0.000218842,0.000218842,0.000218842
26,228.543,0.30643,0.27463,0.96549,0.5006,1,0.53406,0.53406,0.12532,1.80572,0.86946,0.000210585,0.000210585,0.000210585
27,237.782,0.30917,0.27265,0.97173,0.49997,1,0.52289,0.52172,0.13538,1.56954,0.8725,0.000202328,0.000202328,0.000202328
28,246.878,0.30887,0.27203,0.96834,0.49989,1,0.52243,0.52243,0.11993,1.86335,0.87139,0.000194072,0.000194072,0.000194072
29,255.533,0.29588,0.25857,0.96245,0.49743,1,0.53518,0.53518,0.12401,1.85105,0.87329,0.000185815,0.000185815,0.000185815
30,264.959,0.30283,0.26498,0.96432,0.49997,1,0.54824,0.54733,0.10558,1.7004,0.87058,0.000177559,0.000177559,0.000177559
31,274.749,0.2999,0.26129,0.96184,0.49989,1,0.51393,0.51314,0.11415,1.76026,0.86799,0.000169302,0.000169302,0.000169302
32,284.513,0.29804,0.25704,0.96516,0.50041,1,0.54965,0.54965,0.10597,1.68026,0.86803,0.000161045,0.000161045,0.000161045
33,293.523,0.28886,0.25111,0.96008,0.49901,1,0.55897,0.55897,0.09934,1.63794,0.86661,0.000152789,0.000152789,0.000152789
34,302.918,0.28181,0.24457,0.95996,0.50061,1,0.5723,0.5723,0.09424,1.66841,0.8636,0.000144532,0.000144532,0.000144532
35,312.219,0.2762,0.24047,0.95632,0.49987,1,0.51312,0.51312,0.08697,1.75653,0.86125,0.000136276,0.000136276,0.000136276
36,320.818,0.29034,0.24391,0.95913,0.49991,1,0.58247,0.58247,0.08273,1.71455,0.85968,0.000128019,0.000128019,0.000128019
37,328.034,0.27096,0.23468,0.95003,0.49991,1,0.55815,0.55815,0.08241,1.77665,0.8614,0.000119762,0.000119762,0.000119762
38,337.294,0.27334,0.23912,0.95255,0.49991,1,0.56847,0.56847,0.09162,1.76584,0.8651,0.000111506,0.000111506,0.000111506
39,346.776,0.26679,0.23497,0.94989,0.49987,1,0.55065,0.55065,0.08657,1.77923,0.86116,0.000103249,0.000103249,0.000103249
40,355.991,0.25845,0.22675,0.94976,0.49992,1,0.57678,0.57678,0.07832,1.81563,0.85924,9.49926e-05,9.49926e-05,9.49926e-05
41,366.65,0.09607,0.18242,0.81908,0.50583,1,0.52991,0.52991,0.09623,1.42926,0.86095,8.6736e-05,8.6736e-05,8.6736e-05
42,374.538,0.09186,0.15253,0.81912,0.49992,1,0.51988,0.51988,0.0778,1.6835,0.85588,7.84794e-05,7.84794e-05,7.84794e-05
43,379.74,0.08159,0.13844,0.81111,0.49995,1,0.56367,0.56367,0.07083,1.72695,0.85491,7.02228e-05,7.02228e-05,7.02228e-05
44,384.943,0.07867,0.13345,0.80891,0.49991,1,0.55319,0.55319,0.06957,1.74942,0.85628,6.19662e-05,6.19662e-05,6.19662e-05
45,393.574,0.07614,0.12974,0.80794,0.49989,1,0.59259,0.59259,0.06323,1.83738,0.85381,5.37096e-05,5.37096e-05,5.37096e-05
46,403.366,0.0717,0.12119,0.80095,0.4999,1,0.59136,0.59136,0.05992,1.96847,0.85327,4.5453e-05,4.5453e-05,4.5453e-05
47,413.209,0.06911,0.11952,0.81053,0.49987,1,0.54463,0.54463,0.06058,1.93629,0.85389,3.71964e-05,3.71964e-05,3.71964e-05
48,422.936,0.06855,0.11553,0.80912,0.4999,1,0.53677,0.53677,0.05828,1.94058,0.85274,2.89398e-05,2.89398e-05,2.89398e-05
49,432.691,0.06698,0.11307,0.80642,0.49988,1,0.53837,0.53837,0.06029,1.91855,0.85316,2.06832e-05,2.06832e-05,2.06832e-05
50,442.416,0.06431,0.10948,0.80392,0.49987,1,0.53837,0.53837,0.05451,1.9655,0.85261,1.24266e-05,1.24266e-05,1.24266e-05
